modality,figure_id,current_role,audit_decision,target_role,target_destination,rationale,structural_evidence,real_visual_audit_status
Behavior,behavior_rt_level_mean_median_agreement,qualification,keep_appendix,qualification,5.2附录,记录RT水平两种候选表示的一致性；Formal 1.16.20 已据此及其他Q1/Q2-blind证据冻结中位数为首轮表示,current Behavior science_output figure contract,superseded_by_final_report_asset_state_20260913
Behavior,behavior_rt_level_difference_ecdf,qualification,keep_appendix,qualification,5.2附录,记录mean-minus-median差异分布与长尾；当前只作为中位数冻结的资格证据,current Behavior science_output figure contract,superseded_by_final_report_asset_state_20260913
Behavior,behavior_rt_cv_ecdf,qualification,keep_appendix,qualification,5.2附录,属于正式RT波动指标的经验分布与可估性证据,current Behavior science_output figure contract,superseded_by_final_report_asset_state_20260913
Behavior,behavior_rt_slope_ecdf,qualification,keep_appendix,qualification,5.2附录,属于正式RT趋势指标的经验分布；不直接回答状态效应,current Behavior science_output figure contract,superseded_by_final_report_asset_state_20260913
Behavior,behavior_q1_candidate_coefficients,main,reconstruct,main_science,5.2正文,原图按predictor和Q1模型行排列；语义合同要求按科学维度组织且RT level使用冻结中位数,current Behavior q1_nominal_models formal estimates,superseded_by_final_report_asset_state_20260913
Behavior,behavior_q2_candidate_coefficients,main,reconstruct,main_science,5.2正文,原图按程序候选排列；语义合同要求按科学维度组织且RT level使用冻结中位数,current Behavior q2_ordinal_gee formal estimates,superseded_by_final_report_asset_state_20260913
Behavior,behavior_b1_b2_compact_effects,main,reconstruct,main_science,5.2正文,科学问题正确但旧图维度与单位表达不足；最终上交版按正式报告图件重新组织,current participant-cluster bootstrap formal table,superseded_by_final_report_asset_state_20260913
Behavior,behavior_candidate_coverage,qc,keep_appendix,qualification_qc,5.2附录,覆盖率支持测量资格与缺失审计；不得作为正文状态效应,current Behavior handoff coverage,superseded_by_final_report_asset_state_20260913
Movement,movement_primary_distribution,feature_qualification,keep_appendix,qualification,5.4附录,身体动作主指标分布支持测量资格但不回答注意状态问题,FINAL_P4_EVIDENCE figure_manifest,superseded_by_final_report_asset_state_20260913
Movement,movement_block_pair_task_progression,main_science,retain_final_submission_asset,main_science,5.4正文,1.16.19曾计划模型调整后轨迹；最终上交版保留生产端正式区块配对与任务进程图且cleanup不重新拟合,FINAL_P4_EVIDENCE figure_manifest,superseded_by_final_report_asset_state_20260913
Movement,movement_exposure_qc,qc,keep_appendix,qc,5.4附录,曝光变化是技术混杂审计；不得进入注意效应主图,FINAL_P4_EVIDENCE figure_manifest,superseded_by_final_report_asset_state_20260913
Movement,movement_pose_direction_distribution,sensitivity,keep_appendix,sensitivity,5.4附录,横向/纵向/径向辅助变量只作敏感性展示,FINAL_P4_EVIDENCE figure_manifest,superseded_by_final_report_asset_state_20260913
Movement,movement_source_coverage,qc,keep_appendix,qc,5.4附录,场次来源可观测比例属于质量控制,FINAL_P4_EVIDENCE figure_manifest,superseded_by_final_report_asset_state_20260913
Movement,movement_task_progression_coefficients,main_science,keep_provenance,formal_companion,5.4附录,正式GEE系数需保留；实际正文呈现以Final报告资产清单为准,FINAL_P4_EVIDENCE movement_task_progression.csv,superseded_by_final_report_asset_state_20260913
Movement,movement_task_progression_coefficients_pose_sensitivity,sensitivity,keep_appendix,sensitivity,5.4附录,姿态/径向任务进程结果保持敏感性角色,FINAL_P4_EVIDENCE figure_manifest,superseded_by_final_report_asset_state_20260913
Movement,movement_q1_relationships,main_science,retain_final_submission_asset,main_science,5.4正文,主身体动作指标与Q1关系完整保留；无效应同样属于正式结果,FINAL_P4_EVIDENCE movement_q1_models.csv,superseded_by_final_report_asset_state_20260913
Movement,movement_q1_relationships_pose_sensitivity,sensitivity,keep_appendix,sensitivity,5.4附录,姿态/径向Q1关系不因局部显著自动升级,FINAL_P4_EVIDENCE figure_manifest,superseded_by_final_report_asset_state_20260913
